Wallet_ID,Reason
0x6dde0aeca2cc6c9e28952389bcd09f83c3ee4d5b,Synthetic illicit seed
0xbbb9ffcd07ebcc56f0ddbe354f26e9ba6c4c68cc,Synthetic illicit seed
0x8de5cbf0e8467809dc3edae7eb9894187b74e86a,Synthetic illicit seed
0x59744dac817e4de74bcf3d8587a5de37f04ca6bd,Synthetic illicit seed
0xd9acfd1ce55152cae9cfc246cfbf3d4728fff7e5,Synthetic illicit seed
0xacd856c12cdd24987f34a91fffbbbea0fffeb0e6,Synthetic illicit seed
0xdcddd34ec6e97cfed8a5aeb7fdcaa18e217fecf4,Synthetic illicit seed
0x8669df7407e404dbfeda0212a4200828fa708bbc,Synthetic illicit seed
0x9a2d2abdad0130eefe3de12abeb0115703660176,Synthetic illicit seed
0x4e3e10e9a3ade5a0321d925da49c5bd9e6dffb6e,Synthetic illicit seed
0x8a9fbcc0d1a3ec6a9c7f684650316a2be8ef7fec,Synthetic illicit seed
0x25de25a2963ddabb7afaf2318a3c9fa3155b7cc8,Synthetic illicit seed
0xd3d336f25a1e2aefafcaae70f1d0f445eae6ee18,Synthetic illicit seed
0xbb4abf8e9a4b74deced366edcb4dba1b89012b1c,Synthetic illicit seed
0xa4bba570cfde35d8ed27b52ab262cad20ab8e981,Synthetic illicit seed
0x0c7fc8660bd43dafe5f08fccb431ceb30dafc63f,Synthetic illicit seed
0xed7df8aab916457c0e7b1d236383ed675cd1c79e,Synthetic illicit seed
0xc692011bfc2b652224d87cf3cec1db53dfcbc4ea,Synthetic illicit seed
0xecd97fb0fbdecd9e3ca2d9abcecdf98a1b43fafe,Synthetic illicit seed
0xe3d6bf3ecaf72959e065a4bc6d1f32d87c27f8fd,Synthetic illicit seed
0xdb73591efbbafbae49f66fcdcfc43a6c1acdeade,Synthetic illicit seed
0xfa3bd523c68f16af5addafbdceac65892e45d76d,Synthetic illicit seed
0xf3fb9d7d2bf886dc4f3637ecc5683bfa7ca304d3,Synthetic illicit seed
0xa26d0ae854aee505195624e58c5f55c2e9ae33bd,Synthetic illicit seed
0xad4afd90d1ab9bd02bee222dc66c85654d9687ce,Synthetic illicit seed
0x9ff53b6fff479e70b746b1aee5b195dd0cbbf76b,Synthetic illicit seed
0xd2bc7c468dabe9faf1eabfd024a7f4050a73fcbd,Synthetic illicit seed
0x127ef09ba22adcf416dbaab2df4e1061886086bf,Synthetic illicit seed
0xfc0e15be5a2eb9d5be7df100fc9a9a7f64bcf951,Synthetic illicit seed
0xc8af7c1ae6cc694f6fd4af4c8aebb5a777e3ddea,Synthetic illicit seed
0x9e650cdcef662cb1fe05edf2e63ded313af7bddf,Synthetic illicit seed
0xc2fcf5fcfe9a2d26fac512168324ad67eafee484,Synthetic illicit seed
0xc29272e0d0475dece6e9eec3360311eedfa0dc9d,Synthetic illicit seed
0x5529d7f8a4baf7add87a8d086f3cfb4bbfbd89dd,Synthetic illicit seed
0xf86fd212aa7ea51cae8fbdedafb3cd71630c9efb,Synthetic illicit seed
0xfc129db6ff5507f18233da7dae85ebecb5494ffd,Synthetic illicit seed
