Source_Wallet_ID,Dest_Wallet_ID,Timestamp,Amount,Token_Type
0xd05fed3326f15a8448beebd0be52842ed26c6be1,0xe201cffc32dbdeca80da1b25cfed783bc9bfeaec,1777352,26.232881,ETH
0x0c30313fa7eaad6dff0107edc2fbbb33bad9d3fd,0x20df4d4dfd615b79be787c3bbbce7a70fff1cad3,1777356,4.527205,USDT
0xe73d9aecb4b4acb2a66994fee358dfcaffb5a0ef,0xa40e7a6eec5a95e2e3b93b1c4601cb9c6987bafa,1777358,44.399146,BTC
0x6feb26387c2a0dda21c05cf1ceaa94e34f77bc69,0x0c30313fa7eaad6dff0107edc2fbbb33bad9d3fd,1777371,8.560238,BNB
0x89c310a32ae92d52a5fd9a3e74febb87fe04eb37,0xeccd17ea33bbc9c98ca7378a7d8efcb8edbc8fcb,1777377,52.599587,BTC
0xb318f4dcfa3b3aad5d799f0eab8cf1ba664c4fb6,0x7e3fe5fdbb26ae8fcfb2ed23bcecc9af6b2018dd,1777397,274.572521,BTC
0x3a3d945c7ff8f53be56d34a95a68bc9affda9b2e,0x7e3fe5fdbb26ae8fcfb2ed23bcecc9af6b2018dd,1777406,26.594031,USDT
0xc4dadbc6293f5806c2baee1accbfa914abf89a68,0xbcd3f04966ca9bb4f08c573fd1b304fb6c172c8f,1777406,3.767588,ETH
0x7e3fe5fdbb26ae8fcfb2ed23bcecc9af6b2018dd,0xe6ad2fd4c7fa679ff756c491fef393eecd0b61ae,1777419,508.909227,BTC
0xd05fed3326f15a8448beebd0be52842ed26c6be1,0xb318f4dcfa3b3aad5d799f0eab8cf1ba664c4fb6,1777427,481.348275,ETH
0xef7bcbe9ea2b08d1bbc36c7dba5524ba8f298f9c,0xdfbe6b90c2dfbce5cb14faebdefcdc7aecd6a23f,1777430,15.470194,BNB
0xe6ad2fd4c7fa679ff756c491fef393eecd0b61ae,0xeccd17ea33bbc9c98ca7378a7d8efcb8edbc8fcb,1777434,35.839315,USDT
0x20dffdf8216bf65f8c3ceae706da4339edaa4b4b,0x5ea28fe2e2a7bd3095bf31c35aab57eddb0bfd56,1777471,1.764696,BTC
0x3ed4f90e2a0678bfd9caf9a23fa70d28bbc2a0fa,0xdfbe6b90c2dfbce5cb14faebdefcdc7aecd6a23f,1777477,84.14864,USDT
0x6feb26387c2a0dda21c05cf1ceaa94e34f77bc69,0xe9f5e306ebbfbe1262cf3a5055ff1aad3f6c8cdd,1777489,120.104351,BNB
0x7bc51f346fccfb02eab88db7f1b63dbc4ce0f51e,0xbccae11f2b9a2cfa35cbb0faefdb56ff2dfd87e3,1777494,1.62024,ETH
0xa75563062a8ff5fdff53974b6b7d376ccce0ace5,0x20dffdf8216bf65f8c3ceae706da4339edaa4b4b,1777515,41.559555,BNB
0x1f5effb7a3f9554b2543aced904bfeb4de7edca2,0x5ae20ff8a36f2eb8acec9ea8b626c550f54f2bf0,1777517,6.601622,ETH
0xeccd17ea33bbc9c98ca7378a7d8efcb8edbc8fcb,0xc7df7c66ef3ef029dd59e429edd032d8eddf4dcc,1777524,27.012129,BNB
0xb42ae76bbfe8ad584fb5be676c9c8aea3df8dffd,0x0d2deef8bedfc1e2e8c0e0102fce4fbf5faf68ab,1777542,15.880678,BTC
0x5ae20ff8a36f2eb8acec9ea8b626c550f54f2bf0,0xe6ad2fd4c7fa679ff756c491fef393eecd0b61ae,1777573,28.708419,BTC
0xae9c1bf0f6dd3e53912a2bd9bc31bdcfbfaae1ac,0xe9f5e306ebbfbe1262cf3a5055ff1aad3f6c8cdd,1777574,1.55406,BNB
0x20dffdf8216bf65f8c3ceae706da4339edaa4b4b,0xae9c1bf0f6dd3e53912a2bd9bc31bdcfbfaae1ac,1777596,55.802236,USDT
0xed441898cdbcab9baece5ca229ef1efd067a2dde,0xd05fed3326f15a8448beebd0be52842ed26c6be1,1777602,22.408481,ETH
0xdeb41d908bd7ff05d74bdafcdbbdbabce3280772,0x2789eef8ec2c7ea59a601fa9e5febafe1996d3ac,1777623,9.784778,ETH
0xe9f5e306ebbfbe1262cf3a5055ff1aad3f6c8cdd,0xbcd3f04966ca9bb4f08c573fd1b304fb6c172c8f,1777627,4.446955,BNB
0x05fbc6cdfca13cc23a6339b3b15e0735d3fe5c7a,0x61c81b6ddec9d89d15d4ecffc1e8646b0c69efb4,1777637,7.844337,USDT
0xb318f4dcfa3b3aad5d799f0eab8cf1ba664c4fb6,0x0d2deef8bedfc1e2e8c0e0102fce4fbf5faf68ab,1777666,5.008761,ETH
0x20dffdf8216bf65f8c3ceae706da4339edaa4b4b,0xe9f5e306ebbfbe1262cf3a5055ff1aad3f6c8cdd,1777684,11.170374,ETH
0x5fe290f1ce49b90b810bd6bed7edb6bf3b2d8dfc,0xb42ae76bbfe8ad584fb5be676c9c8aea3df8dffd,1777705,1.932091,BNB
0x5ae20ff8a36f2eb8acec9ea8b626c550f54f2bf0,0xdeb41d908bd7ff05d74bdafcdbbdbabce3280772,1777718,32.993099,USDT
0x05fbc6cdfca13cc23a6339b3b15e0735d3fe5c7a,0x0c30313fa7eaad6dff0107edc2fbbb33bad9d3fd,1777728,5.472155,BTC
0x7bc51f346fccfb02eab88db7f1b63dbc4ce0f51e,0xb42ae76bbfe8ad584fb5be676c9c8aea3df8dffd,1777748,9.572142,ETH
0x05fbc6cdfca13cc23a6339b3b15e0735d3fe5c7a,0x4a288dbffddbd86d3726f1fffdd1d875dfbb9456,1777761,1164.765152,USDT
0x5ea28fe2e2a7bd3095bf31c35aab57eddb0bfd56,0xce5ff89d15b4bf8afed9d9a2ddeaa8f35e33bcf5,1777775,20.096581,ETH
0x0c30313fa7eaad6dff0107edc2fbbb33bad9d3fd,0xdcd288dc2f42f52c7abaeed5f158a04d0f3dcb3c,1777851,2.514143,USDT
0xa40e7a6eec5a95e2e3b93b1c4601cb9c6987bafa,0xdeb41d908bd7ff05d74bdafcdbbdbabce3280772,1777851,48.437337,BNB
0xeccd17ea33bbc9c98ca7378a7d8efcb8edbc8fcb,0x1f5effb7a3f9554b2543aced904bfeb4de7edca2,1777876,94.887086,BNB
0xc7df7c66ef3ef029dd59e429edd032d8eddf4dcc,0x5fe290f1ce49b90b810bd6bed7edb6bf3b2d8dfc,1777890,70.073451,USDT
0xf116b71a39fbbbfeb2f3029cabbfba75bbbebcef,0x80dd792e190cfacfd152a1edfc109bf7ebaeead4,1777898,4.878757,ETH
0x0c30313fa7eaad6dff0107edc2fbbb33bad9d3fd,0xe201cffc32dbdeca80da1b25cfed783bc9bfeaec,1777911,3.207132,BTC
0xac2cdca561bcedbc21dffd8c61b1fe295bb7379d,0x20df4d4dfd615b79be787c3bbbce7a70fff1cad3,1777921,4.953747,USDT
0xe73d9aecb4b4acb2a66994fee358dfcaffb5a0ef,0x89c310a32ae92d52a5fd9a3e74febb87fe04eb37,1777938,4.678189,ETH
0xbcd3f04966ca9bb4f08c573fd1b304fb6c172c8f,0xb42ae76bbfe8ad584fb5be676c9c8aea3df8dffd,1777940,2.523432,BNB
0x2dd26bd570f56b82288e907bcbc14fb52506b49a,0x20dffdf8216bf65f8c3ceae706da4339edaa4b4b,1777942,55.995052,BNB
